"filename", "language", "Properties", "Docker", "YAML", "XML", "Java", "Batch", "comment", "blank", "total"
"h:\HUST\Thesis\GioiMon-Backend\gm-gateway\.mvn\wrapper\maven-wrapper.properties", "Properties", 2, 0, 0, 0, 0, 0, 0, 1, 3
"h:\HUST\Thesis\GioiMon-Backend\gm-gateway\Dockerfile", "Docker", 0, 10, 0, 0, 0, 0, 1, 1, 12
"h:\HUST\Thesis\GioiMon-Backend\gm-gateway\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 118, 51, 37, 206
"h:\HUST\Thesis\GioiMon-Backend\gm-gateway\pom.xml", "XML", 0, 0, 0, 82, 0, 0, 0, 8, 90
"h:\HUST\Thesis\GioiMon-Backend\gm-gateway\src\main\java\hust\project\gioimon\gm_gateway\GmGatewayApplication.java", "Java", 0, 0, 0, 0, 14, 0, 0, 3, 17
"h:\HUST\Thesis\GioiMon-Backend\gm-gateway\src\main\java\hust\project\gioimon\gm_gateway\config\GatewayConfig.java", "Java", 0, 0, 0, 0, 0, 0, 23, 1, 24
"h:\HUST\Thesis\GioiMon-Backend\gm-gateway\src\main\resources\application-dev.yml", "YAML", 0, 0, 51, 0, 0, 0, 0, 5, 56
"h:\HUST\Thesis\GioiMon-Backend\gm-gateway\src\main\resources\application.yml", "YAML", 0, 0, 56, 0, 0, 0, 1, 6, 63
"h:\HUST\Thesis\GioiMon-Backend\gm-gateway\src\main\resources\application2.properties", "Properties", 15, 0, 0, 0, 0, 0, 6, 8, 29
"Total", "-", 17, 10, 107, 82, 14, 118, 82, 70, 500
