"filename", "language", "Properties", "XML", "Java", "Batch", "Docker", "comment", "blank", "total"
"h:\HUST\Thesis\GioiMon-Backend\gm-story\.mvn\wrapper\maven-wrapper.properties", "Properties", -2, 0, 0, 0, 0, 0, -1, -3
"h:\HUST\Thesis\GioiMon-Backend\gm-story\Dockerfile", "Docker", 0, 0, 0, 0, -10, 0, -1, -11
"h:\HUST\Thesis\GioiMon-Backend\gm-story\mvnw.cmd", "Batch", 0, 0, 0, -118, 0, -51, -37, -206
"h:\HUST\Thesis\GioiMon-Backend\gm-story\pom.xml", "XML", 0, -125, 0, 0, 0, -3, -6, -134
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\GmStoryApplication.java", "Java", 0, 0, -30, 0, 0, 0, -4, -34
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\InitListStory.java", "Java", 0, 0, -14, 0, 0, 0, -6, -20
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\check_permission\CheckPermissionAnno.java", "Java", 0, 0, -10, 0, 0, 0, -3, -13
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\check_permission\CheckPermissionAspect.java", "Java", 0, 0, -50, 0, 0, -1, -7, -58
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\check_permission\CheckPermissionDTO.java", "Java", 0, 0, -13, 0, 0, 0, -4, -17
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\exceptions\ErrorsDefinition.java", "Java", 0, 0, -80, 0, 0, 0, -16, -96
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\exceptions\TypeError.java", "Java", 0, 0, -7, 0, 0, 0, -5, -12
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\feign_client\PostClient.java", "Java", 0, 0, -17, 0, 0, 0, -4, -21
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\feign_client\UserClient.java", "Java", 0, 0, -15, 0, 0, 0, -3, -18
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\model\GetPostStoryRequest.java", "Java", 0, 0, -8, 0, 0, 0, -3, -11
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\model\ResponseData.java", "Java", 0, 0, -32, 0, 0, 0, -10, -42
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\model\TopPostStoryResponse.java", "Java", 0, 0, -9, 0, 0, 0, -3, -12
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\cache\ListStoryCache.java", "Java", 0, 0, -67, 0, 0, 0, -6, -73
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\constant\Common.java", "Java", 0, 0, -10, 0, 0, 0, -2, -12
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\constant\FilterConstants.java", "Java", 0, 0, -11, 0, 0, 0, -3, -14
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\controllers\CategoryController.java", "Java", 0, 0, -24, 0, 0, 0, -5, -29
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\controllers\ChapterController.java", "Java", 0, 0, -14, 0, 0, 0, -4, -18
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\controllers\ListStoryController.java", "Java", 0, 0, -75, 0, 0, 0, -6, -81
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\controllers\StoryController.java", "Java", 0, 0, -31, 0, 0, 0, -3, -34
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\exceptions\GlobalExceptionHandler.java", "Java", 0, 0, -27, 0, 0, -1, -3, -31
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\exceptions\custom\ApplicationException.java", "Java", 0, 0, -6, 0, 0, 0, -2, -8
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\exceptions\custom\UserDoesNotExistException.java", "Java", 0, 0, -6, 0, 0, 0, -2, -8
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\exceptions\custom\UsernameExistedException.java", "Java", 0, 0, -6, 0, 0, 0, -3, -9
