"filename", "language", "Java", "comment", "blank", "total"
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\GmStoryApplication.java", "Java", 30, 0, 4, 34
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\InitListStory.java", "Java", 14, 0, 6, 20
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\check_permission\CheckPermissionAnno.java", "Java", 10, 0, 3, 13
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\check_permission\CheckPermissionAspect.java", "Java", 50, 1, 7, 58
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\check_permission\CheckPermissionDTO.java", "Java", 13, 0, 4, 17
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\exceptions\ErrorsDefinition.java", "Java", 80, 0, 16, 96
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\exceptions\TypeError.java", "Java", 7, 0, 5, 12
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\feign_client\PostClient.java", "Java", 17, 0, 4, 21
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\feign_client\UserClient.java", "Java", 15, 0, 3, 18
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\model\GetPostStoryRequest.java", "Java", 8, 0, 3, 11
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\model\ResponseData.java", "Java", 32, 0, 10, 42
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\client\model\TopPostStoryResponse.java", "Java", 9, 0, 3, 12
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\cache\ListStoryCache.java", "Java", 67, 0, 6, 73
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\constant\Common.java", "Java", 10, 0, 2, 12
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\constant\FilterConstants.java", "Java", 11, 0, 3, 14
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\controllers\CategoryController.java", "Java", 24, 0, 5, 29
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\controllers\ChapterController.java", "Java", 14, 0, 4, 18
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\controllers\ListStoryController.java", "Java", 75, 0, 6, 81
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\controllers\StoryController.java", "Java", 31, 0, 3, 34
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\exceptions\GlobalExceptionHandler.java", "Java", 27, 1, 3, 31
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\exceptions\custom\ApplicationException.java", "Java", 6, 0, 2, 8
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\exceptions\custom\UserDoesNotExistException.java", "Java", 6, 0, 2, 8
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\exceptions\custom\UsernameExistedException.java", "Java", 6, 0, 3, 9
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\model\AuthorDTO.java", "Java", 13, 0, 3, 16
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\model\CategoryDTO.java", "Java", 14, 0, 3, 17
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\model\ChapterDTO.java", "Java", 18, 0, 4, 22
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\model\ContentDTO.java", "Java", 17, 0, 4, 21
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\model\DetailStoryDTO.java", "Java", 19, 0, 4, 23
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\model\HistoryDTO.java", "Java", 13, 0, 3, 16
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\model\HistoryStory.java", "Java", 15, 0, 3, 18
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\model\SampleStoryDTO.java", "Java", 22, 0, 4, 26
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\repository\AuthorRepository.java", "Java", 15, 0, 3, 18
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\repository\BaseRepository.java", "Java", 99, 9, 4, 112
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\repository\CategoryRepository.java", "Java", 23, 0, 4, 27
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\repository\ChaptersRepository.java", "Java", 70, 0, 4, 74
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\repository\ListStoriesRepository.java", "Java", 114, 1, 6, 121
"h:\HUST\Thesis\GioiMon-Backend\gm-story\src\main\java\hust\project\gioimon\gm_story\service\repository\StoryRepository.java", "Java", 50, 0, 6, 56
